temperature_2m,relativehumidity_2m,apparent_temperature,surface_pressure,snowfall,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,winddirection_10m,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm
l,m,l,l,n,l,l,l,l,h,m,m,l,m
l,m,l,l,y,l,l,l,l,h,m,m,l,m
l,m,l,l,n,l,l,l,l,m,m,m,l,h
l,m,l,l,y,l,l,l,l,m,m,m,l,m
m,m,m,m,n,l,l,l,l,m,m,m,m,m
m,m,m,m,n,l,l,l,l,m,m,m,m,m
m,m,m,m,n,l,l,l,l,h,m,m,m,m
l,m,l,l,n,l,l,l,l,m,m,m,l,h
m,m,m,m,y,l,l,l,l,m,m,m,m,m
l,m,l,l,y,l,l,l,l,m,m,l,l,m
l,m,l,l,y,l,l,l,l,h,m,m,l,m
l,m,l,l,n,l,l,l,l,h,m,m,l,m
l,m,l,l,y,l,l,l,l,h,m,m,l,m
l,m,m,l,n,l,l,l,l,m,m,m,l,h
m,m,l,m,y,l,l,l,l,h,m,m,m,m
l,h,l,l,y,l,l,l,l,h,m,m,l,m
m,m,m,m,n,l,l,l,l,h,m,m,m,m
l,m,l,l,y,l,l,l,l,h,m,m,l,m
l,m,l,l,y,l,l,l,l,h,m,m,l,m
l,m,m,l,n,l,l,l,l,m,m,m,l,h
l,m,l,l,y,l,l,l,l,h,m,m,l,m
m,m,m,m,n,l,l,l,l,h,m,m,m,m
l,m,l,m,n,l,l,l,l,h,h,m,m,m
l,m,l,l,y,l,l,l,l,h,h,m,l,m
m,m,m,m,n,l,l,l,l,h,m,m,m,m
l,m,l,l,n,l,l,l,l,h,m,m,l,h
l,m,l,l,y,l,l,l,l,h,h,m,l,m
l,m,l,l,y,l,l,l,l,h,h,m,l,m
l,m,l,l,y,l,l,l,l,h,m,m,l,m
l,m,l,m,n,l,l,l,l,h,h,m,m,m
l,m,l,l,n,l,l,l,l,m,m,m,l,h
l,m,l,l,y,l,l,l,l,h,h,m,l,m
l,m,l,l,y,l,l,l,l,h,h,m,l,m
l,m,l,l,y,l,l,l,l,h,h,m,l,m
m,m,m,m,n,l,l,l,l,h,m,m,m,m
l,m,l,m,n,l,l,l,l,h,h,m,m,m
l,m,l,m,n,l,l,l,l,h,h,m,m,m
l,m,l,l,n,l,l,l,l,m,m,m,l,h
l,m,l,l,n,l,l,l,l,h,h,m,l,m
l,m,l,m,y,l,l,l,l,h,h,m,l,m
m,m,m,m,n,l,l,l,l,h,m,m,m,m
l,m,l,l,y,l,l,l,l,h,h,m,l,m
l,m,l,l,n,l,l,l,l,h,h,m,l,m
l,m,l,l,n,l,l,l,l,h,h,m,l,m
l,m,m,m,n,l,l,l,l,h,m,m,m,m
l,m,l,m,y,l,l,l,l,h,h,m,l,m
l,m,l,m,n,l,l,l,l,h,h,m,m,m
l,m,l,l,n,l,l,l,l,m,h,m,l,h
l,m,l,l,n,m,m,m,l,h,h,m,l,m
l,m,l,m,n,m,m,m,l,h,h,m,l,m
l,m,l,m,n,m,m,m,l,h,h,m,l,m
l,m,l,l,n,m,m,m,l,m,h,m,l,h
l,m,m,m,n,m,m,m,l,h,m,m,m,m
l,m,l,m,n,m,m,m,l,h,h,m,m,m
l,m,l,m,n,m,m,m,m,h,h,m,l,m
l,m,l,m,n,m,m,m,m,h,m,m,l,m
l,m,l,l,n,m,m,m,m,h,h,m,l,m
l,m,l,l,n,m,m,m,m,m,h,m,l,h
l,m,l,m,n,m,m,m,h,h,m,m,m,m
l,m,l,m,n,m,m,m,m,h,h,m,m,m
l,m,l,l,n,m,h,m,h,m,h,m,l,h
l,m,l,l,n,m,m,h,h,h,h,m,l,m
l,m,l,m,n,m,h,m,h,h,m,m,l,m
l,m,l,m,n,m,m,h,m,h,h,m,l,m
l,l,l,m,n,h,h,m,h,h,m,m,m,m
l,m,l,m,n,m,m,h,m,h,h,m,m,m
l,l,l,m,n,h,m,h,m,m,h,m,m,m
l,l,l,m,n,h,h,m,h,h,m,m,m,m
l,m,l,l,n,h,h,h,h,h,h,m,l,m
l,l,l,l,n,h,h,h,h,m,h,m,l,h
l,m,l,m,n,m,m,h,m,m,h,m,l,m
l,m,l,m,n,h,h,h,h,h,m,m,l,m
l,l,l,m,n,h,h,h,h,m,h,m,m,m
l,l,l,m,n,h,h,h,h,h,m,h,m,m
l,l,l,l,n,h,h,h,h,m,h,m,l,h
l,m,l,l,n,h,h,h,h,h,h,m,l,m
l,m,l,m,n,h,h,h,h,m,h,m,l,m
l,m,l,m,n,h,h,h,h,h,m,m,l,m
l,l,l,m,n,h,h,h,h,h,m,h,m,m
l,l,l,l,n,h,h,h,h,h,h,m,l,m
l,m,l,m,n,h,h,h,h,h,m,m,l,m
l,m,l,m,n,h,h,h,h,h,h,m,l,m
l,l,l,m,n,h,h,h,h,h,h,m,m,m
l,l,l,l,n,h,h,h,h,h,h,m,l,h
l,m,l,m,n,h,m,h,h,h,h,m,l,m
l,l,l,m,n,h,h,h,h,h,m,m,m,m
l,m,l,l,n,h,h,h,h,h,h,m,l,m
l,l,l,m,n,h,m,h,h,h,h,m,m,m
l,m,l,m,n,m,m,h,m,h,m,m,l,m
l,l,l,l,n,h,h,h,h,h,h,m,l,h
l,l,l,m,n,m,h,m,h,h,m,m,m,m
l,l,l,m,n,m,m,h,m,h,h,m,m,m
l,l,l,l,n,m,h,m,h,m,h,m,l,h
l,m,l,m,n,m,m,h,m,h,m,m,l,m
l,m,l,l,n,m,m,h,h,h,h,m,l,m
l,m,l,m,n,m,m,h,h,h,h,m,l,m
l,m,l,l,n,m,m,m,h,m,h,m,l,h
l,m,l,l,n,m,m,m,m,h,h,m,l,m
l,m,l,m,n,m,m,m,m,m,h,m,l,m
l,l,l,m,n,m,m,m,h,h,m,m,m,m
l,m,l,m,n,m,m,m,m,m,h,m,m,m
l,m,l,m,n,m,m,m,m,h,m,m,l,m
l,m,l,l,n,m,m,m,m,m,h,m,l,h
l,m,l,l,n,m,m,m,m,m,h,m,l,m
l,m,l,m,n,m,m,m,m,m,h,m,m,m
l,m,l,m,n,m,m,m,m,h,m,m,m,m
l,m,l,m,n,m,l,m,m,m,m,m,l,m
l,m,l,m,n,m,m,m,m,m,h,m,l,m
l,m,l,m,n,l,l,l,l,m,h,l,l,m
l,m,l,m,n,l,l,l,l,h,m,m,m,m
l,m,l,h,n,l,l,l,l,m,h,m,m,m
l,m,l,m,n,l,l,l,l,h,m,m,l,m
l,m,l,l,n,l,l,l,l,m,h,m,l,h
l,m,l,l,n,l,l,l,l,m,h,m,l,m
l,m,l,m,n,l,l,l,l,m,h,l,l,m
l,m,l,l,n,l,l,l,l,m,h,m,l,h
l,m,l,l,n,l,l,l,l,m,h,m,l,m
l,m,l,h,n,l,l,l,l,m,h,m,m,m
l,m,l,m,n,l,l,l,l,h,m,m,m,m
l,m,l,m,n,l,l,l,l,h,m,m,l,m
l,m,l,h,n,l,l,l,l,m,h,m,m,m
l,m,l,l,n,l,l,l,l,m,h,m,l,m
l,m,l,m,n,l,l,l,l,h,h,m,m,m
l,m,l,m,n,l,l,l,l,h,m,m,l,m
l,m,l,m,n,l,l,l,l,m,m,m,l,h
l,m,l,m,n,l,l,l,l,m,h,l,l,m
l,m,l,m,n,l,l,l,l,h,m,m,l,m
l,m,l,m,n,l,l,l,l,h,h,m,m,m
l,m,l,m,n,l,l,l,l,m,m,m,l,h
l,m,l,l,n,l,l,l,l,m,h,m,l,m
l,m,l,m,n,l,l,l,l,m,h,l,l,m
l,m,l,h,n,l,l,l,l,m,h,m,m,m
l,m,l,m,n,l,l,l,l,h,m,l,l,m
l,m,l,l,n,l,l,l,l,m,h,m,l,m
l,m,l,h,n,l,l,l,l,m,h,m,m,m
l,m,l,m,n,l,l,l,l,m,m,m,l,h
l,m,l,m,n,l,l,l,l,h,h,m,m,m
l,m,l,m,n,l,l,l,l,m,h,l,l,m
l,m,l,m,n,l,l,l,l,h,h,m,m,m
l,m,l,m,n,l,l,l,l,l,h,l,l,m
l,m,l,h,n,l,l,l,l,l,h,l,m,m
l,m,l,m,n,l,l,l,l,m,m,l,l,m
l,m,l,l,n,l,l,l,l,m,h,m,l,m
l,m,l,m,n,l,l,l,l,m,m,l,l,h
l,m,l,m,n,l,l,l,l,m,h,m,m,m
l,m,l,m,n,l,l,l,l,l,m,l,l,m
l,m,l,h,n,l,l,l,l,l,m,l,m,m
l,m,l,m,n,l,l,l,l,m,m,l,l,m
l,m,l,l,n,l,l,l,l,m,m,m,l,m
l,m,l,l,n,l,l,l,l,m,m,l,l,h
l,m,l,m,n,l,l,l,l,l,m,l,l,m
l,m,l,m,n,l,l,l,l,m,h,m,m,m
l,m,l,m,n,l,l,l,l,m,m,l,l,m
l,m,l,l,n,l,l,l,l,m,m,l,l,m
l,m,l,h,n,l,l,l,l,l,m,l,m,m
l,m,l,l,n,l,l,l,l,m,m,l,l,h
l,m,l,m,n,l,l,l,l,m,h,m,m,m
l,m,l,h,n,l,l,l,l,l,m,l,m,m
l,m,l,l,n,l,l,l,l,m,m,l,l,m
l,m,l,m,n,l,l,l,l,l,l,l,l,m
l,m,l,m,n,l,l,l,l,m,m,l,l,m
l,m,l,m,n,l,l,l,l,m,m,m,l,h
l,m,l,m,n,l,l,l,l,m,m,m,m,m
l,m,l,m,n,l,l,l,l,l,m,l,m,m
l,m,l,l,n,l,l,l,l,m,m,l,l,h
l,m,l,m,n,l,l,l,l,m,m,l,l,m
l,m,l,m,n,l,l,l,l,m,l,l,l,m
l,m,l,l,n,l,l,l,l,m,m,l,l,m
l,m,l,m,y,l,l,l,l,m,l,l,l,m
l,m,l,m,y,l,l,l,l,l,m,l,m,m
l,m,l,m,n,l,l,l,l,m,m,m,m,m
l,m,l,l,n,l,l,l,l,l,m,l,l,m
l,m,l,m,y,l,l,l,l,m,m,l,l,m
l,m,l,l,n,l,l,l,l,m,m,l,l,h
l,m,l,l,n,l,l,l,l,m,m,l,l,h
l,m,l,l,n,l,l,l,l,l,m,l,l,m
l,m,l,m,y,l,l,l,l,m,l,l,l,m
l,m,l,m,y,l,l,l,l,l,m,l,l,m
l,m,l,m,y,l,l,l,l,l,l,l,m,m
l,m,l,m,n,l,l,l,l,m,m,m,m,m
l,m,l,m,y,l,l,l,l,l,l,l,l,m
l,m,l,m,y,l,l,l,l,l,m,l,l,m
l,m,l,m,y,l,l,l,l,l,l,l,m,m
l,m,l,l,y,l,l,l,l,l,m,l,l,m
l,m,l,m,n,l,l,l,l,m,m,m,m,m
l,m,l,l,n,l,l,l,l,m,m,l,l,h
l,m,l,m,n,l,l,l,l,m,m,m,m,m
l,m,l,m,y,l,l,l,l,l,l,l,l,m
l,m,l,l,y,l,l,l,l,m,m,l,l,h
l,m,l,l,y,l,l,l,l,l,m,l,l,m
l,m,l,m,y,l,l,l,l,l,m,l,l,m
l,m,l,m,y,l,l,l,l,l,l,l,m,m
l,m,l,l,y,m,l,m,l,l,m,m,l,m
l,m,l,m,y,m,l,m,l,l,l,m,m,m
l,m,l,m,y,m,l,m,l,l,l,m,l,m
l,m,l,m,n,m,m,m,l,m,m,m,m,m
l,m,l,m,y,m,l,m,l,l,h,l,l,m
l,m,l,l,y,m,m,m,l,m,m,m,l,h
l,m,l,l,y,m,m,m,m,l,m,m,l,m
l,m,l,h,y,m,m,m,m,m,h,m,m,m
l,m,l,m,y,m,m,m,m,l,l,m,l,m
l,m,l,m,y,m,m,m,m,m,h,m,l,m
l,m,l,m,n,m,m,m,h,m,m,m,m,m
l,m,l,l,y,m,m,m,m,m,m,m,l,h
l,m,l,m,n,h,h,m,h,m,m,m,m,m
l,m,l,l,y,m,m,h,m,l,h,m,l,m
l,m,l,h,y,m,m,h,m,m,h,m,m,m
l,m,l,m,y,m,m,h,m,m,h,m,l,m
l,m,l,m,y,m,m,h,m,l,m,m,l,h
l,m,l,m,y,m,m,m,m,m,h,m,l,m
l,m,l,m,y,m,m,h,m,h,h,m,l,m
l,m,l,m,n,h,h,m,h,m,m,m,m,m
l,m,l,l,y,m,m,h,m,m,h,m,l,m
l,m,l,m,y,h,m,h,m,l,m,m,l,h
l,m,l,h,y,m,m,h,m,h,h,m,m,m
l,m,l,m,y,m,h,h,h,m,h,m,l,m
l,m,l,l,n,h,h,h,h,h,h,m,l,m
l,m,l,m,y,h,h,h,m,h,h,m,l,m
l,m,l,m,n,h,h,m,h,h,m,m,m,m
l,m,l,m,y,h,h,h,h,h,h,m,l,h
l,m,l,m,n,h,h,h,h,m,h,m,l,m
l,m,l,h,y,h,h,h,m,h,h,m,m,m
l,m,l,l,n,h,h,h,h,h,h,m,l,m
l,l,l,m,n,h,h,m,h,h,h,m,m,m
l,m,l,m,y,h,h,h,h,h,h,m,l,m
l,m,l,h,y,h,h,h,h,h,h,m,m,m
l,m,l,m,n,h,h,h,h,m,h,m,l,m
l,l,l,m,y,h,h,h,h,h,h,m,l,h
l,m,l,m,n,h,h,h,h,h,h,m,l,m
l,l,l,m,n,h,h,h,h,h,h,m,l,h
l,m,l,m,n,h,h,m,h,m,h,m,l,m
l,l,l,m,n,h,h,h,h,h,h,m,m,m
l,m,l,h,y,h,h,h,h,h,h,m,m,m
l,m,l,l,n,h,h,h,h,h,h,m,l,m
l,m,l,l,n,m,h,m,h,h,h,m,l,m
l,m,l,m,n,m,m,m,h,h,h,m,l,m
l,m,l,m,n,m,h,m,h,m,h,m,l,h
l,m,l,h,n,m,m,h,h,h,h,m,m,m
l,m,l,m,n,m,h,m,h,m,h,m,l,m
l,l,l,m,n,m,h,m,h,h,h,m,m,m
l,m,l,m,n,m,m,m,h,m,h,m,l,m
l,m,l,l,n,m,m,m,h,h,h,m,l,m
l,l,l,m,n,m,m,m,h,h,h,m,m,m
l,m,l,m,n,m,m,m,h,m,h,m,l,h
l,m,l,m,n,m,m,m,h,m,h,m,l,m
l,m,l,h,n,m,m,m,h,h,h,m,m,m
l,m,l,h,n,m,m,m,m,m,h,m,m,m
l,m,l,m,n,m,m,m,m,h,h,m,m,m
l,m,l,m,n,m,m,m,m,m,h,m,l,m
l,m,l,l,n,m,m,m,m,h,h,m,l,m
l,m,l,m,n,m,m,m,m,m,m,m,l,m
l,m,l,m,n,m,m,m,m,m,h,m,l,h
l,m,l,m,n,l,l,l,l,m,h,m,l,m
l,m,l,m,n,l,l,l,l,m,m,l,l,m
l,m,l,m,n,l,l,l,l,m,h,m,l,h
l,m,l,m,n,l,l,l,l,m,h,m,m,m
l,m,l,h,n,l,l,l,l,h,h,m,m,m
l,m,l,l,n,l,l,l,l,h,h,m,l,m
l,m,l,m,n,l,l,l,l,m,h,l,l,m
l,m,l,m,n,l,l,l,l,m,h,m,l,m
l,m,l,l,n,l,l,l,l,h,h,m,l,m
l,m,l,m,n,l,l,l,l,m,l,m,l,h
l,m,l,h,n,l,l,l,l,h,h,m,m,m
l,m,l,m,n,l,l,l,l,m,h,m,m,m
l,m,l,l,n,l,l,l,l,m,h,m,l,m
l,m,l,m,n,l,l,l,l,m,l,m,l,h
l,m,l,m,n,l,l,l,l,m,h,l,l,m
l,m,l,m,n,l,l,l,l,m,h,m,m,m
l,m,l,m,n,l,l,l,l,m,h,m,l,m
l,m,l,h,n,l,l,l,l,h,h,m,m,m
l,m,l,m,n,l,l,l,l,m,l,m,l,h
l,m,l,h,n,l,l,l,l,m,h,m,m,m
l,m,l,m,n,l,l,l,l,m,h,m,l,m
l,m,l,m,n,l,l,l,l,m,h,l,l,m
l,m,l,l,n,l,l,l,l,m,h,m,l,m
l,m,l,h,n,l,l,l,l,m,h,m,m,m
l,m,l,m,n,l,l,l,l,m,h,l,l,m
l,m,l,l,n,l,l,l,l,m,h,l,l,m
l,m,l,m,n,l,l,l,l,m,l,l,l,h
l,m,l,h,n,l,l,l,l,m,h,m,m,m
l,m,l,h,n,l,l,l,l,m,h,l,m,m
l,m,l,m,n,l,l,l,l,m,m,l,l,m
l,m,l,h,n,l,l,l,l,m,h,m,m,m
l,m,l,m,n,l,l,l,l,m,h,l,l,m
l,m,l,h,n,l,l,l,l,m,h,l,m,m
l,m,l,m,n,l,l,l,l,m,l,l,l,h
l,m,l,m,n,l,l,l,l,m,m,l,l,m
l,m,l,l,n,l,l,l,l,m,h,l,l,m
l,m,l,h,n,l,l,l,l,m,h,l,m,m
l,m,l,m,n,l,l,l,l,m,m,l,l,m
l,m,l,m,n,l,l,l,l,l,l,l,l,h
l,m,l,h,n,l,l,l,l,m,h,m,m,m
l,m,l,l,n,l,l,l,l,m,h,l,l,m
l,m,l,m,n,l,l,l,l,m,h,l,l,m
l,m,l,m,n,l,l,l,l,m,l,l,l,h
l,m,l,m,n,l,l,l,l,m,h,l,l,m
l,m,l,m,n,l,l,l,l,m,m,l,l,m
l,m,l,h,n,l,l,l,l,m,h,l,m,m
l,m,l,h,n,l,l,l,l,m,h,m,m,m
l,m,l,l,n,l,l,l,l,m,h,l,l,m
l,m,l,m,n,l,l,l,l,m,l,l,l,m
l,m,l,m,n,l,l,l,l,m,m,l,l,m
l,m,l,h,n,l,l,l,l,m,h,l,m,m
l,m,l,l,n,l,l,l,l,m,h,l,l,m
l,m,l,h,n,l,l,l,l,m,h,m,m,m
l,m,l,m,n,l,l,l,l,l,l,l,l,h
l,m,l,m,n,l,l,l,l,m,m,l,l,m
l,m,l,h,n,l,l,l,l,l,l,l,m,m
l,m,l,h,n,l,l,l,l,m,h,m,m,m
