,time,temperature_2m,relativehumidity_2m,apparent_temperature,surface_pressure,snowfall,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,winddirection_10m,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,days_since_Jan1_2000,season
25931,2018-06-30T01:00,17.7,89,20.3,986.4,0.0,0.0,0.0,0.0,0.0,10.0,206,0.01,16.4,0.237,6755.041666666667,Summer
28517,2018-07-18T00:00,19.8,77,18.1,965.8,0.0,0.0,0.0,0.0,0.0,11.2,320,0.02,19.5,0.249,6773.0,Summer
25627,2018-06-27T23:00,16.8,100,18.0,969.3,0.0,0.0,0.0,0.0,0.0,13.1,164,0.0,16.3,0.207,6752.958333333333,Summer
32377,2018-08-13T20:00,22.6,88,26.5,986.9,0.0,0.0,0.0,0.0,0.0,4.5,119,0.0,21.9,0.196,6799.833333333333,Summer
37313,2018-09-17T02:00,20.8,89,21.8,1002.2,0.0,0.0,0.0,0.0,0.0,8.8,171,0.0,21.5,0.176,6834.083333333333,Summer
27223,2018-07-09T01:00,18.3,67,16.4,992.7,0.0,0.0,0.0,0.0,0.0,12.0,221,0.04,16.2,0.194,6764.041666666667,Summer
27908,2018-07-13T19:00,28.6,31,27.7,1003.5,0.0,94.0,52.0,42.0,440.2,6.0,147,0.12,25.3,0.13,6768.791666666667,Summer
30510,2018-07-31T21:00,22.5,85,24.2,974.8,0.0,0.0,0.0,0.0,0.0,5.7,145,0.0,21.4,0.2,6786.875,Summer
25923,2018-06-30T00:00,21.0,72,23.7,984.8,0.0,0.0,0.0,0.0,0.0,3.9,202,0.0,17.3,0.272,6755.0,Summer
24865,2018-06-22T16:00,28.1,25,25.4,993.4,0.0,594.0,409.0,185.0,628.1,8.9,166,0.46,25.7,0.098,6747.666666666667,Summer
33028,2018-08-18T08:00,17.0,94,16.9,995.3,0.0,38.0,0.0,38.0,0.0,14.8,337,0.04,20.7,0.268,6804.333333333333,Summer
35099,2018-09-01T17:00,23.1,71,23.9,991.8,0.0,119.0,31.0,88.0,77.6,9.1,171,0.1,21.8,0.212,6818.708333333333,Summer
34297,2018-08-27T04:00,18.9,97,21.0,994.7,0.0,0.0,0.0,0.0,0.0,6.4,254,0.0,17.6,0.197,6813.166666666667,Summer
25000,2018-06-23T14:00,17.5,79,18.9,982.9,0.0,189.0,0.0,189.0,68.9,11.5,180,0.17,18.1,0.19,6748.583333333333,Summer
33718,2018-08-23T03:00,16.8,84,17.8,988.2,0.0,0.0,0.0,0.0,0.0,10.2,328,0.01,17.4,0.266,6809.125,Summer
30802,2018-08-02T21:00,23.5,76,24.6,991.8,0.0,0.0,0.0,0.0,0.0,9.7,182,0.02,21.6,0.199,6788.875,Summer
29558,2018-07-25T06:00,22.8,89,25.7,989.8,0.0,41.0,3.0,38.0,5.0,16.9,164,0.08,21.7,0.211,6780.25,Summer
31276,2018-08-06T04:00,19.5,98,22.3,996.2,0.0,0.0,0.0,0.0,0.0,5.9,256,0.0,18.8,0.24,6792.166666666667,Summer
26857,2018-07-06T12:00,26.9,41,26.7,984.5,0.0,935.0,818.0,117.0,879.3,18.1,325,0.68,25.8,0.208,6761.5,Summer
24719,2018-06-21T15:00,17.9,44,16.6,984.4,0.0,799.0,701.0,98.0,894.0,11.0,337,0.46,18.7,0.212,6746.625,Summer
35887,2018-09-07T05:00,17.1,73,18.7,1000.6,0.0,0.0,0.0,0.0,0.0,8.1,13,0.02,18.6,0.164,6824.208333333333,Summer
25077,2018-06-24T03:00,13.6,97,14.3,981.8,0.0,0.0,0.0,0.0,0.0,7.1,165,0.0,13.7,0.152,6749.125,Summer
32003,2018-08-11T05:00,18.2,74,19.4,993.2,0.0,0.0,0.0,0.0,0.0,6.3,31,0.02,18.2,0.199,6797.208333333333,Summer
24725,2018-06-21T16:00,17.6,46,16.0,984.0,0.0,653.0,563.0,90.0,882.7,10.8,339,0.38,18.4,0.21,6746.666666666667,Summer
27917,2018-07-13T20:00,25.1,43,23.9,977.6,0.0,7.0,2.0,5.0,69.1,8.9,133,0.09,24.2,0.086,6768.833333333333,Summer
33754,2018-08-23T09:00,18.3,59,18.3,982.5,0.0,558.0,475.0,83.0,783.0,6.6,283,0.33,18.4,0.319,6809.375,Summer
35293,2018-09-03T02:00,22.2,87,25.5,1003.6,0.0,0.0,0.0,0.0,0.0,10.1,186,0.01,22.8,0.173,6820.083333333333,Summer
27363,2018-07-10T00:00,22.0,58,22.0,983.1,0.0,0.0,0.0,0.0,0.0,6.7,216,0.03,22.4,0.15,6765.0,Summer
29871,2018-07-27T10:00,26.8,72,30.3,971.6,0.0,662.0,413.0,249.0,568.1,10.2,190,0.47,23.3,0.277,6782.416666666667,Summer
31155,2018-08-05T08:00,22.6,84,23.3,989.8,0.0,370.0,256.0,114.0,418.3,5.1,225,0.21,21.1,0.346,6791.333333333333,Summer
30545,2018-08-01T02:00,20.1,82,22.1,987.4,0.0,0.0,0.0,0.0,0.0,8.8,161,0.01,19.0,0.237,6787.083333333333,Summer
30662,2018-08-01T22:00,22.3,91,25.6,997.1,0.0,0.0,0.0,0.0,0.0,13.0,174,0.01,22.8,0.218,6787.916666666667,Summer
25165,2018-06-24T18:00,18.2,85,18.8,984.1,0.0,86.0,13.0,73.0,27.9,6.8,342,0.07,16.6,0.155,6749.75,Summer
24528,2018-06-20T08:00,19.1,58,14.8,982.4,0.0,482.0,336.0,146.0,619.9,12.0,231,0.25,17.3,0.243,6745.333333333333,Summer
30879,2018-08-03T10:00,24.2,78,28.8,1003.8,0.0,315.0,104.0,211.0,108.1,6.5,177,0.23,23.8,0.205,6789.416666666667,Summer
25959,2018-06-30T06:00,20.7,87,23.1,996.1,0.0,135.0,89.0,46.0,296.4,5.8,300,0.08,18.9,0.191,6755.25,Summer
32082,2018-08-11T19:00,22.1,76,23.3,987.8,0.0,33.0,13.0,20.0,129.8,5.9,169,0.04,21.1,0.211,6797.791666666667,Summer
33915,2018-08-24T12:00,26.2,53,28.8,995.0,0.0,833.0,732.0,101.0,890.0,8.5,216,0.58,22.3,0.214,6810.5,Summer
33785,2018-08-23T14:00,21.9,40,21.6,982.2,0.0,609.0,377.0,232.0,367.0,11.6,300,0.44,20.7,0.305,6809.583333333333,Summer
31165,2018-08-05T10:00,25.9,71,30.1,989.8,0.0,723.0,624.0,99.0,810.4,5.2,236,0.48,23.4,0.341,6791.416666666667,Summer
29081,2018-07-21T22:00,20.6,56,20.3,992.1,0.0,0.0,0.0,0.0,0.0,12.5,139,0.08,21.1,0.132,6776.916666666667,Summer
29972,2018-07-28T03:00,20.5,97,24.4,993.4,0.0,0.0,0.0,0.0,0.0,5.6,225,0.0,20.1,0.256,6783.125,Summer
27402,2018-07-10T07:00,24.2,54,23.7,992.4,0.0,303.0,237.0,66.0,575.3,5.5,259,0.2,23.6,0.08,6765.291666666667,Summer
34197,2018-08-26T11:00,24.6,64,26.3,974.2,0.0,648.0,526.0,122.0,608.7,14.8,209,0.45,22.1,0.184,6812.458333333333,Summer
30820,2018-08-03T00:00,20.5,90,21.9,989.7,0.0,0.0,0.0,0.0,0.0,7.4,194,0.0,19.9,0.202,6789.0,Summer
27888,2018-07-13T16:00,30.6,25,31.5,1003.3,0.0,619.0,512.0,107.0,823.9,1.9,202,0.44,27.1,0.13,6768.666666666667,Summer
33582,2018-08-22T05:00,17.3,94,18.0,975.5,0.0,0.0,0.0,0.0,0.0,19.6,163,0.01,17.7,0.236,6808.208333333333,Summer
28440,2018-07-17T12:00,23.7,94,29.5,988.3,0.0,188.0,0.0,188.0,10.3,10.7,225,0.13,23.6,0.199,6772.5,Summer
25544,2018-06-27T09:00,20.3,70,20.8,986.1,0.0,349.0,51.0,298.0,62.7,10.7,194,0.23,18.3,0.194,6752.375,Summer
29286,2018-07-23T09:00,23.2,85,28.6,989.9,0.0,168.0,56.0,112.0,56.1,10.2,141,0.14,21.5,0.287,6778.375,Summer
47361,2018-11-25T21:00,1.8,97,-0.8,982.9,0.0,0.0,0.0,0.0,0.0,7.1,221,0.0,3.6,0.29,6903.875,Fall
38772,2018-09-27T06:00,10.7,89,9.5,993.9,0.0,1.0,0.0,1.0,0.0,5.5,11,0.01,12.0,0.271,6844.25,Fall
49172,2018-12-08T11:00,-14.5,70,-20.3,1000.4,0.0,344.0,263.0,81.0,543.5,7.2,270,0.04,3.1,0.254,6916.458333333333,Fall
47774,2018-11-28T18:00,0.5,88,-2.7,966.0,0.07,0.0,0.0,0.0,0.0,13.5,312,0.0,3.5,0.344,6906.75,Fall
43780,2018-11-01T00:00,6.3,100,4.6,980.6,0.0,0.0,0.0,0.0,0.0,10.4,250,0.0,4.9,0.305,6879.0,Fall
44400,2018-11-05T08:00,2.2,82,-2.4,997.9,0.0,36.0,0.0,36.0,0.0,12.5,129,0.03,3.3,0.343,6883.333333333333,Fall
45700,2018-11-14T08:00,-9.0,72,-14.8,996.8,0.0,67.0,34.0,33.0,0.0,19.8,299,0.02,-0.1,0.26,6892.333333333333,Fall
39344,2018-10-01T05:00,10.6,98,9.7,980.6,0.0,0.0,0.0,0.0,0.0,3.2,360,0.0,10.9,0.246,6848.208333333333,Fall
46667,2018-11-21T01:00,-4.0,86,-8.6,981.0,0.0,0.0,0.0,0.0,0.0,6.4,232,0.0,2.1,0.325,6899.041666666667,Fall
45728,2018-11-14T13:00,-6.2,49,-14.4,979.8,0.0,376.0,186.0,190.0,528.6,23.4,304,0.07,0.7,0.261,6892.541666666667,Fall
49785,2018-12-12T17:00,-11.0,81,-16.5,975.4,0.0,0.0,0.0,0.0,2.4,8.8,325,0.0,1.6,0.241,6920.708333333333,Fall
50277,2018-12-16T03:00,-8.4,93,-8.1,995.7,0.0,0.0,0.0,0.0,0.0,5.5,122,0.0,2.3,0.259,6924.125,Fall
44494,2018-11-05T23:00,3.2,100,1.7,995.1,0.0,0.0,0.0,0.0,0.0,10.8,154,0.0,2.6,0.289,6883.958333333333,Fall
44410,2018-11-05T09:00,3.7,86,0.7,1008.5,0.0,83.0,3.0,80.0,4.9,12.3,97,0.04,4.3,0.275,6883.375,Fall
48002,2018-11-30T08:00,-3.0,96,-2.9,989.2,0.0,18.0,3.0,15.0,0.0,3.3,283,0.01,3.7,0.253,6908.333333333333,Fall
47835,2018-11-29T04:00,0.1,89,-2.3,973.4,0.0,0.0,0.0,0.0,0.0,12.3,322,0.0,3.6,0.342,6907.166666666667,Fall
44324,2018-11-04T19:00,4.8,69,1.2,1010.6,0.0,0.0,0.0,0.0,0.0,7.4,39,0.01,6.1,0.282,6882.791666666667,Fall
46408,2018-11-19T06:00,-4.0,89,-7.7,989.2,0.07,0.0,0.0,0.0,0.0,9.9,170,0.0,2.2,0.238,6897.25,Fall
43148,2018-10-27T15:00,2.4,97,-0.9,997.5,0.28,36.0,0.0,36.0,0.0,10.5,31,0.02,7.7,0.26,6874.625,Fall
37827,2018-09-20T16:00,16.9,64,17.1,996.9,0.0,103.0,7.0,96.0,12.3,5.6,345,0.1,16.4,0.145,6837.666666666667,Fall
